Geneid	gene_name	Mocetinostat_rep3	Mocetinostat_rep2	DMSO_rep2	Mocetinostat_rep1	DMSO_rep3	DMSO_rep1
ENSG00000269476	AC010326.2	0	0	0	0	0	0
ENSG00000173480	ZNF417	68	40	79	131	135	232
ENSG00000196724	ZNF418	6	9	1	9	10	7
ENSG00000152454	ZNF256	24	34	48	56	79	112
ENSG00000243234	AC010326.1	0	0	0	0	1	0
ENSG00000177025	C19orf18	0	1	3	7	1	4
ENSG00000166704	ZNF606	27	25	81	73	81	142
ENSG00000176593	AC008969.1	35	22	49	65	78	123
ENSG00000235974	VN2R19P	0	0	0	0	0	0
ENSG00000286949	AC008969.2	0	0	0	0	0	0
ENSG00000152467	ZSCAN1	6	2	0	7	4	7
ENSG00000268660	LETM1P2	1	0	0	0	0	0
ENSG00000270837	HNRNPDLP4	0	0	0	1	0	0
ENSG00000176293	ZNF135	0	4	2	0	3	3
ENSG00000243642	RN7SL526P	0	0	0	0	0	0
ENSG00000121413	ZSCAN18	100	76	118	213	196	260
ENSG00000181894	ZNF329	26	20	80	78	69	151
ENSG00000268293	AC008751.1	0	0	0	0	0	0
ENSG00000286632	AC008751.3	0	0	0	3	0	0
ENSG00000269236	AC008751.2	0	0	0	0	0	1
ENSG00000171606	ZNF274	131	64	183	224	227	394
ENSG00000213013	RPS15AP36	0	0	0	0	2	0
ENSG00000268866	AC020915.3	0	0	1	1	2	0
ENSG00000198131	ZNF544	73	49	170	150	279	445
ENSG00000283515	AC020915.4	2	0	0	0	4	7
ENSG00000268516	AC020915.2	13	6	14	19	36	18
ENSG00000268201	AC020915.1	3	2	0	11	3	7
ENSG00000278129	ZNF8	52	27	147	73	187	367
ENSG00000267216	ZNF8-ERVK3-1	4	2	7	12	34	29
ENSG00000142396	ERVK3-1	24	21	99	104	130	168
ENSG00000283103	AC010642.2	13	8	28	14	23	66
ENSG00000269794	AC010642.1	0	0	1	0	0	0
ENSG00000182318	ZSCAN22	15	6	84	47	128	179
ENSG00000277588	MIR6806	0	0	0	0	0	0
ENSG00000121410	A1BG	2	6	1	3	0	5
ENSG00000268230	AC012313.3	1	0	0	0	0	0
ENSG00000268895	A1BG-AS1	26	20	48	45	114	118
ENSG00000279611	AC012313.10	2	2	10	6	21	19
ENSG00000174586	ZNF497	3	2	4	5	15	26
ENSG00000268049	AC012313.2	6	2	4	15	16	30
