circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_051104	574.1307487	285.172811	239.2526676	359.9613928	65.76075974	0
novel_circ_051105	31.03409453	34.41740823	17.58287321	50.86410985	0	0
novel_circ_051107	3.651069944	4.370464537	0	7.825247669	0	0
novel_circ_051109	4.56383743	0.546308067	9.105416485	3.912623834	0	0
novel_circ_051110	0.912767486	1.638924201	0	2.60841589	0	0
novel_circ_051112	0.912767486	1.092616134	5.023678061	3.912623834	0	0
novel_circ_051113	0.912767486	1.638924201	7.84949697	0	0	0
novel_circ_051115	62.98095654	27.31540335	37.0496257	119.9871309	0	130.5314936
novel_circ_051116	0.912767486	1.092616134	7.221537212	0	0	0
novel_circ_051120	14.60427978	12.01877748	1.255919515	15.65049534	0	0
novel_circ_051121	33.77239699	37.14894856	8.163476849	20.86732712	0	0
novel_circ_051149	327.6835275	177.0038137	32.6539074	106.9450515	7.736559969	0
novel_circ_051151	43.81283933	13.11139361	0	11.7378715	0	0
novel_circ_051189	0.912767486	1.638924201	2.825818909	0	0	0
novel_circ_051201	21.90641967	17.48185815	22.92053115	0	0	0
novel_circ_051207	49.28944425	12.56508554	16.3269537	10.43366356	0	0
novel_circ_051209	1.825534972	6.555696805	0	7.825247669	0	0
novel_circ_051210	68.45756146	8.194621006	10.04735612	9.129455613	0	0
novel_circ_051212	95.84058604	26.76909529	14.12909455	99.1198038	0	0
novel_circ_051215	6.389372403	1.092616134	8.163476849	0	0	0
novel_circ_051225	50.20221173	33.32479209	96.70580267	83.46930846	30.94623988	0
novel_circ_051226	73.02139889	57.36234704	22.60655127	16.95470328	0	0
novel_circ_051227	40.16176939	40.97310503	8.477456728	20.86732712	0	0
novel_circ_051235	10.04044235	4.370464537	5.023678061	0	0	0
novel_circ_051236	8.214907375	2.731540335	19.15277261	2.60841589	0	0
novel_circ_051239	318.5558526	372.0357937	133.1274686	170.8512408	897.4409564	176.6526214
novel_circ_051240	6.389372403	7.648312939	0	0	61.89247975	0
novel_circ_051242	7.302139889	5.463080671	13.50113479	0	0	0
novel_circ_051245	4.56383743	1.092616134	0	9.129455613	0	0
novel_circ_051248	20.08088469	6.555696805	0	15.65049534	0	0
novel_circ_051250	0.912767486	2.731540335	4.709698182	10.43366356	0	0
novel_circ_051251	12.77874481	7.102004872	33.59584703	10.43366356	0	0
novel_circ_051254	4.56383743	6.555696805	0	0	0	82.66994597
novel_circ_051258	4.56383743	4.370464537	2.51183903	0	0	0
novel_circ_051270	5.476604917	4.916772604	5.33765794	0	0	0
novel_circ_051272	0	2.185232268	8.791436606	27.38836684	0	0
novel_circ_051273	0.912767486	0.546308067	0	14.34628739	0	0
novel_circ_051284	0	2.185232268	6.279597576	5.216831779	85.10215966	0
novel_circ_051288	10.95320983	3.82415647	0	31.30099067	0	0
novel_circ_051296	0.912767486	1.092616134	0	7.825247669	0	0
novel_circ_051297	2.738302458	9.833545207	18.83879273	0	0	0
novel_circ_051299	7.302139889	8.194621006	8.163476849	0	3.868279985	0
novel_circ_051307	6.389372403	6.555696805	4.081738424	0	0	0
novel_circ_051316	6.389372403	3.82415647	0	0	0	38.28923813
novel_circ_051332	1.825534972	7.102004872	7.84949697	10.43366356	61.89247975	0
